オッズパーク いちいちIDとかを入れないと入れない前のアプリの方が使い勝手が良かった。
韓国のことは無視して生きて行きたいです。"
異常な発熱 "iPhone8 (iOS13.4.1)で使用しているが、バッテリーの消費が激しく、動きもカクカクする時がある、さらに背面からの発熱がこれまでなかったほど熱くなっている。"
ホリエモン大好きかよ "ホリエモンのニュース上げすぎ。
あいつがどんなこと呟いたとかトップニュースにするなや。"
トップタブの任意の非表示や並び替えの実装を "使っている人はご存知の通り、トップのタブには、叩き記事や煽り記事、タイトル詐欺など、不快なニュース……というかゴシップが集まりやすい傾向がある。

すぐにタブを切り替えて退避するがそれでも目に入る。自分で見たいと思ってないものを無理やり目に入れさせられるのは正直苦痛。

トップのタブを任意で非表示にできれば(あるいは並び替えで最後に持っていければ)、他には不満も無いので☆5でもよいのだけれど……せめてトップタブの画像を非表示にできるだけでもいいから……"
時々固まり、広告と記事の区別が不明確 以前のバージョンと比べ、広告と記事の区別がとてもわかりにくい仕様になったのは紛らわしさ甚だしい。あくまでニュースアプリであるということを忘れないでもらいたい。
不要なコンテンツを除外する機能が欲しい ❶ハーバービジネスオンラインを表示しないよう設定で選択できるようにして欲しい❷表題にウーマン及び村本が含まれるニュースを表示しないように選択出来るようにして欲しい❸テレビでコメンテーターがこんな事言ってた、蓮舫等がツイッターでこんな事言ってた、ちゅうのはニュースと言えない。一切表示しないように設定で選択できるようにしたい
ニュースのネタが "ニュースではなくて、グラビアみたいなものが多く、面白くない
利用頻度が減ってきたよ"
不透明 "信憑性無いニュースが多い感じ
匿名の投稿が記事の扱いなのが情報として信用できない。"
微妙 宣伝か多いかな
文字 文字が拡大できないので見にくい
いちいち 送信率が半端ない
見えない 文字が小さくて見えない
クーポン以外使え無い！ ニュースとしては女性週刊誌を読んでいる感じ？クーポン以外使えない⁉️
毎日見てます！ "早い情報が届いて読んでます。
以前もお話ししましたが、根拠の無い記事や、誹謗中傷の記事を見ると気分が悪くなります。正確な記事をお願いします。
以前とあまり変わりません、"
クーポン クーポンを充実してください。
情報が古い "今の情報を見たいとグノシーを見ても、ないことが多い。
新しい情報が上位に表示されない。
検索機能はないのか？
広告が多過ぎる。"
つまらない 批判する内容が多過ぎ。
使いにくい "ニュースは読みにくい。
使い辛い。"
あれっ？？ 期待は大きかったけど、ほとんどお得な情報が見当たらない
クーポン 目玉となるクーポンがなくなった
いまひとつ "内容がいまひとつ面白くない。
ヤバそうな広告掲載が多すぎる。"
広告表示をなんとかして欲しい まとめサイトとか見てます。最近画面の下側に帯で広告が固定表示されるようになりました。これはなんとかならないかな。不用意に押してしまい見たくもない広告を見てしまいます。
情報が遅い 他の配信サービスより情報が遅く内容が貧相
株価上げろ 株主還元しろ
至急対応求む 占いデフォルト願います。検索が面倒！
広告の画像が非常に不快 広告の画像は考えた方がいいと思います
中身が薄い 宣伝のわりに中身が薄い
無料クーポンが無い 無料クーポンが無い
余計なものが多すぎ 関心のあるものが少ないわりに要らない情報が多いと思う。
使えるクーポンが少ない 使えるお店やサービスが少ない
あんまり CMで見た印象とはなんか違かったです。スマニューを既に持っていたので、あえてダウンロードする事なかったなーと思っています。
アプデ アプデしたらアプリ開けなくなった
使いにくい "エリアが県単位でしか調べられないから面倒
時間帯もなかなか会うものが見つからない"
1度だけやりました "とても簡単で楽しかったしよかったのですが最近ずーーっと 締め切り済、配達の仕事のみ… 全然仕事がなくて残念です"
変わってなくない？ "アップデートしてポップで飛んだ時に落ちないように修正したって言ってたけどバリバリ落ちるんだが？

嘘はやめてくれい"
全然仕事ない 最初の頃はすぐに申し込みして働けたのに最近すぐ募集終了の記載ばっかで働きたい日に働けない。
ペナルティ制度の改正お願いします "ペナルティ制度がありますが
5.6時間前なら大体キャンセルしても
違う方がすぐ見つかるはずです。
急な体調不良で私がお休みをもらい、
ペナルティがつき、キャンセル7時間前くらいでした。姉が行っていて、私がいなくてもなんの不自由もなかったらしいです。
ペナルティつくのは、いいのですが
それで応募した所から、ペナルティが6あるので
キャンセルが来ました。
体調管理を気をつけててもできない時はあります。
タイミーの仕事が新しく来てその日の仕事でもすぐ違う人に取られるほど早いです。
そんなに困る事でしょうか？？
3.4時間前なら新しい人見つからない可能性が大いにあるので、つけても構わないと思います
が、、
ペナルティがついたら、一生仕事するなということでしょうか？
給料もそんなに良くないですし、あんまり取れないし、せっかく取れたのにペナルティで
キャンセルされたら、困ります。
新しく仕事しないと、ペナルティは減らないのですから"
よっぽど運が良くないと働けない 隙間時間に働けるという事でタイミーを入れて実際に働いてみましたが、給料が働いた後すぐに入るという点や、暇になった時に気軽に働けるという点に感動し、これからも継続的にタイミーを利用したいと思いました。しかし最近になってタイミーの仕事数が激減しました(応募可能な)。それは恐らくTVcmや広告などで知名度が上がり、利用者数が増えたからだと思います。現在では仕事に応募しようときてもすぐに締め切られてしまいます。仕事選ばずに新しい募集が始まった瞬間にどんなに急いで応募しても最近では全く働けません。タイミーの運営側としては供給を増やせばそれだけ利益になると思いますが、利用者からすれば極々一部の人しか働けないとなると不満が募るばかりです。安定的なバイトアプリとして確立して初めて成功だと思いますので、目先の利益だけを追求せずに利用者に対してのサービス向上に精進して頂きたいと思います。
探しづらい "募集締め切りしてる案件が
ずっと表示されて探しづらいです
締め切り案件を非表示にしても
勝手に解除されてまた表示されてます
後はデリバリー、要資格形以外は
全て数秒で掲載後締め切りになるので
携帯握りしめてないと案件勝ち取れないです"
なかなか応募できない "余ってるのはデリバリーの募集ばかりで、それ以外のは大体応募締切になっています。
締切のものは掲載しない方がよいのでは、、？(見づらいです)
日程が直近すぎると全て応募締切、先の日程だとまだ募集なし。
応募できるものがありません。

また、隙間時間と謳ってますが、１個１個の業務時間が地味に長いです。
働きながらなので、20:00〜22:00とかがあればもっと需要ありそうな気がします。

システム自体はすごく良いのに、残念です。"
うーん "ほとんどが締め切り済みばかりで載せる意味はあるのでしょうか？
募集中のみ表示されるようになってくれたら良いです。"
申し込み案件が来たのにも関わらずすぐ締切にされる "せっかくいい案件が来てすぐ申し込もうとしたのにも関わらず、すぐ締切になるところを改善してほしいです…
通知が来てその数秒後でも案件が締め切られて働きたいにも働けなくて困ってます"
18歳以上 高校生も出来るようにしてほしかった
求人数が少なすぎる 仕組みは良いと思うが、求人が少なすぎるのと、その少ない求人ですら締め切ってて応募すら出来ない。
案件 "締め切り案件と募集が少なすぎます。

後、タイミーでバイト中に案件をとっている方を目撃しました。

周りに平等に案件が当たる様工夫してください。

頑張って、タイミーのバイトしてる人が馬鹿を見る気がします。"
当たり前だけど💦 難しいのは承知ですが、高校生でもできるようにして欲しいなと思いました💦
CMのようにはできない 遊びの約束がドタキャンされた！じゃあタイミーでバイト行こう！なんてことはできない。どこもかしこも締切済み
エラー多いかな、、 何をするにもエラー、、
k 案件が少ない
長野県なんて蕎麦しかない 長野県も入れてくれよ〜😭
件数の増加と条件の緩和に期待 "アルバイトの募集体制に2つ問題がある。

①募集件数
②募集条件
が問題だと考えている。

①については件数が少なすぎる。

1日の募集案件数は分からないが、
後述の資格がいらないアルバイトと募集開始から15秒以内に応募しない限り、応募が出来なくなる。

CMなどをうって、会員登録数が急増しているだろう現状と案件数が釣り合っていないため、
案件数の増加をして欲しい。

②については、資格や労働経験者じゃなければ応募してはならない案件が多すぎる。"
アップデートにより使いにくくなりました、、 東京都と千葉県で仕事を探しているのですがひとつの県しか選択できないためとても使いにくいです。
全然申し込めない たとえ通知をオンにしてても、ものの1分で締切になってしまい、ほとんど申し込むことができません。これは運営のせいではないことは分かっているのですが、何かしら対策してほしいです。
東京ばっか "自分は関西なのですが、全然仕事なくてワロタ
今後、東京以外の案件も増えることを期待してます"
免許ない人は微妙かも "デリバリーの求人ばかりです。
CM見て期待してインストしたけど、ちょっと残念。"
　 北海道使えないじゃん意味ない
99%飲食専門です 空求人なのか3日前でも締切で、ほぼ若い方か女性じゃないと採用してもらえないのでわ？中年やオッさんはまず無理なんで探すだけ無駄。
全然仕事が出てこない "大阪在住ですが、近辺でまったく仕事の情報が出てきません。東京とか横浜の案件を紹介されても…

アプリの構想自体は良いと思うのですが…まだまだこれからな様子ですね。"
働く地域をもう少し増やしてほしい "仕事が欲しいのですがもう少し
明石や神戸あたりでの仕事が欲しいのと
未経験歓迎なのに対して、確認ボタンでの
経験者ボタンが出るので押しづらいです。
行っても迷惑かけてしまいそうで、"
ざっくりし過ぎ "働きたいエリアが関東、関西、福岡、名古屋。
ざっくりしてるどころの騒ぎでは無い。
エリアを絞る事もできないからある程度の量から近いエリアを探す手間が面倒。
と言うか、ほぼ飲食店しか募集してませんね。
飲食店が苦手な業種の方はにはオススメしません。
自分は飲食店苦手なのであまり使う機会が無いので退会しようと考えます。今後の発展に期待します。"
ここの "運転免許持ってないと働けないとこばっかりてかそれだけ
はっきり派遣より酷い"
少ないかな 求人が少ないかもしれません
少し使いづらい まだ発展途上だからか、仕事の少なさやアプリ内レビューの少なさなどは使いづらいなぁと感じましたら。機能はそれなりだと思いますが、でも「関東」のような大きな括りでしか絞り込めないのはさすがに厳しすぎます。そして検索条件がアプリを開くごとにリセットされているのは、さすがに残る仕様しておいて欲しいです……。
キャンセルについて 急にアルバイトが無くなることがあり、向こうには何のペナルティもない。無くなるなら、その半分を保証としていただきたかった。それ以外は素晴らしいです。
使いやすいけど 勤務先の都合で早上がりになった上に向こうが修正依頼を承認してくれなくてお金が全然入ってこないことが多すぎる。今もお金が貰えていなくて困っている。サポートラインも「申し訳ありません」とか「もう少し待ってください」とかを繰り返すだけで使い物にならない。以前は本当に困っていたので会社側に電話をかけてやっと対応してもらったが、クレーマー扱いされたくないしいちいち電話かける元気もない。ワクラクみたいに翌日の昼になったら会社側で手続きを代行するシステムを作ってほしい。
給料が振り込まれません。 なぜですか？
地方にも対応して欲しい 地方の案件が全くない
関西住みには必要なし。 関西に住んでいるので関西の募集を探そうとしても東京や千葉ばかり。これだと関西住んでる人には必要ないな〜と感じました。
エリア検索ができない "アプリ自体はとても使いやすくアプリで完結できるのはとても素晴らしい。

しかし、アプリ検索で各エリアで検索できた方が便利だと思う。

関東だけでは広すぎて探すのが大変。、"
給与が安い。 売り手市場のアルバイト人材市場だから成り立つサービス。人手不足に悩み、業績が不安定な事業者が多い。そのため給与は安い。その給与は、タイミーの手数料が差し引かれているため安いと思うと悲しくなる。支払わなければ人が雇えない。とにかく今を凌ぎたい事業者は使わざるをえない。
勤務地の絞り込みを... "交通費が出ても500円までなので、近くで働きたい！でも勤務地の絞り込みがアバウトすぎて同じ関東でも埼玉から横浜...なんて遠くて行けません。
絞り込みが出来たら、お仕事を探しやすくなり良いと思います。"
エリア選択が… "関西 までしか選べなくてびっくりしました。せめて県や市まで絞れるように出来ないんですか？ 遠い他県のアルバイト情報を出されても行く訳ありませんし、見にくいです。"
いいと思うけど "東京にしか仕事がない。
近くにあっても既に締切となっており働けない。当日空いた時間にならいいけど、数日後まで埋まってる尚且つ場所が限られてるなら意味が無い。"
エリア もっとエリアが絞れるとありがたいです
うーん "今まで使ってた派遣バイトが時給1600〜1800円だったから時給1000円とか安すぎて働く気がしない

まぁ面接なし履歴書なしの単発だから仕方ないのかもしれないけど
わざわざ遠くまで行ってたった5、6000円もらうくらいなら家で寝てた方がマシ"
関西の案件がない 東京近辺だけのアプリ？
急なペナルティーで利用停止にされた 出勤まで約20時間前まであってキャンセルを入れたのでがペナルティーが＋9されて利用停止にされられました。意味がわかりません
エリア指定させて欲しい "もう少しエリアを絞って探しやすくして欲しい

近場でないかを探したいのに範囲が広すぎて…"
東北地方も早く対応よろしくお願いします "まだ、関西、関東、福岡の3つのエリアしか無いので東北エリアも追加して欲しいです！早く利用したいので対応お願いします！
楽しみに待ってます！"
締切が多すぎ… 夜から働きたい！と思って昼にアプリを開いても、ほぼ締切で働けない。東京にしか募集してるところがなく、他の都市でももっと普及して欲しい。
便利だけど超低賃金 "隙間時間を有効活用でき便利ですが、都内は最低賃金を下回る案件も多く特に深夜帯も手当は付かず時給千円など平気であるので注意が必要です。法的に大丈夫なのでしょうか。（交通費は賃金には含まれないの、ご存知ですよね？）交通費も一律500円。
低賃金だから雇用する側もアルバイター側も平気でドタキャンするのではないでしょうか？
あと、コールセンターの女性が敬語が使えないギャルでとても心配になりました。
スタートアップ企業、応援しています。が、法にかかる事項と社内オペレーションの整備は必須です。頑張ってください。"
うーん "仕事を、探す時に駅まで絞って探せると良い。マップから探すという機能はあるがそれだと不便。働くのに条件が多い。し、そもそも募集が埋まっているものばかり。
橋本環奈ちゃんが可愛いし良さそうだから入れたけどまだまだ改善して欲しい点が沢山ある。"
メリット＜デメリット "自分が使っている上でのメリットとデメリットを簡潔に書きます。
◎メリット
・どこでもSuicaにチャージが出来る
・ネット通販の中にはモバイルSuicaで支払いできるものがある
◎デメリット
・チャージの際にエラーになることが多々ある
・電源が切れていると反応しない(充電注意)
・反応せず、改札を抜ける際に後続に迷惑をかけることが割とある
・飛行機のチケット等スマホでバーコードをかざす時に勝手に起動してしまう
・現金でチャージしたい時にタッチ式のチャージ機でないとチャージできない"
Suica新規発行ができない "アプリから新規発行するためにApple Payからチャージしようとしても、チャージ画面に進まない。なぜかカード登録してくださいと出る。Apple Payにはクレジット追加済みです。
iPhoneSE2です。"
入金時のレスポンスが悪い。 "咄嗟に入金しようとしても、グルグル回って中々処理が終わらない。
入金されているにもかかわらず金額が反映されない。
いったいいつになったら改善されるのだろうか？
PayPay等のようにいかないのは何故だろうか？
運営側はこの問題を本気で取り組んで頂きたい。"
改札通れない "最近なぜかたまに改札で反応しなくなった
先日も反応せず(これで3回目)、ついに電車に乗り遅れた

かと思えば別の日は日中にいきなりメンテナンス中と言われてそもそも使えず、これまた遅刻しかけたり、動作がいちいち不安定すぎる

他にアプリがないため仕方なく使ってるが、最近は改札を通る度にエラーにならないかビクビクしながら使ってる

以前は便利に使わせてもらってたのに
早くなんとかしてほしい"
残高表示 このご時世現金使わずに支払い出来るのはとても便利だが、正しい残高表示がされないので早く解消してほしいです。
残高が反映されない "一昨日くらいのシステム障害後から、
アプリ起動時の残高が変わらなくなりました。
また自動改札の入出場時の通知が、
表示されなくなりました。
修正して頂けると助かります。"
基本的には使えてます "基本的には使えてます。
しかし定期的に表示金額が、更新されなくなる現象が起こります。
チャージしたのに表示画面が反映されないのはまだマシです（サーバ側では増えているので使える）。
ひどいのは表示金額が2〜3千円あるのに実際は数十円しかないなどのケースです。
残ってると思うじゃん？無いのよ...（これはよくトラブルになる）
大抵はWalletアプリのヘルプモードで解消しますが、このアプリにヘルプモードは確か無かった。"
改札通れないことがある "スマホ端末の隅の方を当てても全く反応しないことが度々あります。Apple PayのSuicaが画面に出てきて、パスワードを要求されます。"
不具合訂正願います。 "自販機ジュース購入の何回かに　一回
フリーズで　お金だけ払われて　購入できていない状況が起こります。
損したことになるので　なんとかして下さい。"
入金までに時間がかかる 入金に時間がかかりエラー。再度入金操作すると、ダブって入金。
消えない "使い終わった（有効期限後の）定期券の表示が消えない。Apple  Payの仕様？？"
バグ直して ちょいちょい残高表示バグあるの何とかして
"Watchの残額が、iPhone に反映しなくなった" "Ver.2.7にアップデートしたのとほぼ同時期に、Watchで表示される残額とこのアプリで表示される残額が一致しなくなりました。チャージも出来ません。apple careに相談したところ、アプリもしくはサーバー側に起因する問題だろうとのこと。取り敢えずの対策(iPhone にカードを一旦戻してチャージする)はできますが、とにかく面倒なので早く手直しお願いします。"
エラーが多過ぎ "通信環境が云々意味不明なメッセージが出て全くチャージ出来ない
バージョンも最新で通信環境良好なのに全く使えない
さっさと修正対応してくれ"
なぜ 今まで普通に使えてて便利だったが、今日アップデートしてから急に開かなくなった。iPhoneを何回再起動しても変わらない。対処法を教えて欲しい。
カードがカメラから登録できません "iPhone SE 2gen(iOS 13.5.1)の環境で使用してます。チャージ>Apple Payにカードを追加>カード登録画面でカメラが真っ黒になり登録そのものができません。iPhone側の設定でカメラへのアクセスを禁止する設定になってるのか見直しましたがそういう設定そのものがないのでアプリの不具合かと思います"
ログアウト出来ない "クレジットカードでのチャージや店での支払いなどは特に問題ないが、ログイン設定で生体認証のFace IDを選択すると、ログアウト→（画面を見ているので）Face IDによるチェックが始まる→ログインの無限ループ。画面最下部からのスワイプでアプリ自体を終了させるしかない。"
反応しない "iPhoneウォレットでバスに違うクレジットカードが反応してしまう。
どうすればいいのか…"
「物販」 "アプリの使い勝手はとても良いです。ただ、バスや電車での利用以外の支払い履歴に、「物販」とのみ表示されるのがとても不便です。
マネーツリーやマネーフォワードでの支払い履歴の分類が自動的にされないため、早急に改良いただくことを希望します。
改良後、評価を修正させていただきます。"
直してください "使える時は便利だが
残高を追加するたびに反映されない。
iPhone11proを使用しているが、残高が反映されないとき本体を強制再起動をすると反映される。
毎回毎回これなのでそのたびに本体を強制再起動しなくてはならず困っています。
直していただけませんか？"
"Touch ID" "しばらく時間経過すると、アプリ起動時に生体認証が行われるようにできないですか？
入金チャージのタイミングで時間経過したと言われて再起動されるの二度手間です。"
残高がおかしい "Apple Watchで使用しています
ウオッチ、iPhone共に残高が更新されない時がありチャージした金額の表示も更新されない事がある為に重複してチャージしてしまうことがある。
現在はウオッチ側は問題ないのですが、iPhoneの残高が全く違う金額を表示…治りません。"
チャージ時間 "長いですね…レジなどで咄嗟にチャージしにくいです。

Apple Payですが、都度決済処理が必要でしょうか…末締め請求などでいいのでは？PayPayなどのようにチャージは一瞬でしたいですね"
便利ですが "待ちに待ったApplePay対応のSuicaアプリです。しかし使っても残高が変わらない時が頻繁にあります。おかしいなと思いつつも、残高あるからと改札を通ろうとしたり買い物しようとすると「残高不足」の表示。
カスタマーに問い合わせたりぐぐったりするとヘルプモードというやつにすれば改善するとのこと。しかし、反映する時としない時がある。いちいちヘルプモードにして確認なんてしてられない。残高が分からないなんて、ちょっと困ったアプリです。
本当に使っても使っても減らない魔法のカードなら良いのですが…"
Suicaの残高が変わらない！ "チャージしても残高表示が変わらない、
どうしたら正しい残高が表示されるのだろうか？
便利だけど、ソレ凄くご迷惑！iOSは相性悪いのかな？"
グリーン券を買うとかならず再起動が必要 このアプリでグリーン券を買うと、かならずグルグルのあとエラーになります。そこからはどうやっても券を買ったことになりません。そこでiphone自体を再起動し、このアプリを再度開き、しばらく待つとようやく買ったことになります。この動作が毎度嫌なので、駅のホームのグリーン券売機ですませようと券売機にiphoneを置くと「このスイカは使えません」。もう後戻りできない。コレはつらい。
教えて下さい "チケット購入、Suica管理のタグがありますよね？そこにエクスプレス予約の項目があり、今持っているものと紐づけようとしましたが、何度やってもエラーが出ます。
そもそも、エクスプレス予約は別のICカードが必要なのでSuicaとどう関係あるんでしょうか？"
チャージの取り消し "エラーになって、チャージを1日まっても表示が変わらず、もう一度チャージ。
毎回おもうけど、、取り消し機能つけろや。"
アプデでドンドン酷くなる "最近残金が全く更新されない。
改札通っても買い物してもアプリが表示されなくなりましたがそれも同じ不具合でしょう。
すっっっごく使いづらくなりました。
IOS13.5.1 / iphone7です。

一時的な解決方法です
支払い後や残金が更新されない時は定番の方法で、ウォレットからsuica選択して右上の点３つ（•••）からヘルプモードをオンにする
指紋認証後、ヘルプモードになったことを画面で確認して、戻るかバックグラウンドにすると勝手にヘルプモードが解除されて正しい残金が表示されます。

が、これ毎回しなきゃいけないんですよね。
なんなの？"
デメリットの方が大きい "メインとして使うにはデメリットが多いため、使うならサブとして使うのをお勧めします。

・定期券として使うとスマホの電池容量を管理する必要が生じる
・アプリやネット環境の不具合により使えなくなることがある

これだけでも、カードとして持ち歩く方が面倒が少なくて済むことがわかりますよね。

メリットはいつでも入金できることや、グリーン車に乗ってからでも事前購入代金で買えるくらいかと思います。
そのメリットだけでも享受できるように、サブでの利用をお勧めしときます。

アプリとしての使い勝手は良くないです。"
使うけど使えない。 現状の国内交通機関には使いやすいから使っているが、各種のサービスを受ける為に別のアプリをインストールしなければならない等、アプリ単体で機能完結できない使い辛さがあります。例えば、JRをキャッシュレスで利用して付与されたポイントを確認するのも取り込むのも別のアプリからでないとできないってなんなの？？？？？
どうすれば良いのですか チャージしても残高ゼロでもずっと残高が240でとまっています。なのでちゃんとした残高がわかりません。
便利だが… "3点気になることがありました。
・改札出入時の反応が磁気カードタイプのものより遅いこと
・都度チャージを利用しているが、チャージ入金を入力後反映まで15秒近くかかりとても遅い
・5月31日現在発生したが、チャージしても一瞬残高が更新され、すぐにチャージ前の残高に表示が戻ってしまった。前述の遅さから画面を見ずに付けっぱなしにしていたので残金が戻ったことに気付かず再度不必要にチャージしてしまった。その際は画面を見ていたため、一瞬増えて減る現象を確認した。変わらず表示はチャージ前残金のままなので、これは早急に修正してもらわなければ困る。
便利だが色々問題があります。"
センター センターの奴早く電話でろや
え… "使う時に1000円ずつチャージしているのですが、なんどチャージを押してもチャージできず、何度か押してしまったら、一気に五千円チャージされてしまいました。たぶん使うのでいいのですが、毎月の支払に影響するので困りました。
普段は良いアプリです。"
"LINE プリペイドカードも" チャージできるといいなぁと思います
改札機で反応されない 改札機でモバイルSuicaをかざしても反応されない。改札の駅員もみどりの窓口も対応できないしどこに問い合わせるのかよくわからない。
改札通れない現象しばしば "完了マークが表示され金額も引かれているにもかかわらず、何度やっても改札を通れない。。
人が多い時間では後ろの人達に迷惑がかかり精神的負担が。。
窓口に駅員さんが居る時はいいが、居ないと本当に困る。"
残高 残高がずっと同じ。
チャージに関して "チャージした金額が反映されないです、、。
すぐ反映される時もあるのですが、表示されない事の方が多く必要以上にチャージしてしまいます。
利用するのでいいのですが、改善して頂けたら嬉しいです。
宜しくお願い致します。"
電車に乗れない "PASMOしか持っていなかったのでSuicaも使おうとアプリをインストールしてみましたが...

Suica専門の自販機、コンビニとかファミレスは使えるのに
肝心の電車に乗ろうと改札通ろうとしてもエラーして使えた試しがありません。

40分時間が経過すると勝手にログアウトしてしまうし、ログインされていても改札通る時は全く通過出来ず。
また改札詰まらせるのは怖いので仕方ないのでカード式のPASMOに現金チャージして使うと言う始末💔

電車に乗ると言う機能ははっきり言って信用出来ません。

チャージに関しては残高がすぐに反映されないのでされてないと思ってやってみたらまとめてチャージされると言う感じです。

ログアウトのボタンでも有ればログインし直すのに。
50台のおばさんにはちょっと難易度が高いなと思うアプリです😔"
アプリを信じると絶望する "何度もエラーが起き、改札で止められる。
（山手線等、JR東日本の改札）
その度に駅のカウンターへ行き、
「アプリをもう一度タッチしてください」
→ダメ
「アプリを再起動させて、もう一度タッチしてください」
→ダメ
「切符を買ってください、または下車する駅で清算してください」
（定期区間でも一回やられそうになったが、切符購入中に駅員さんが「定期区間なら通っていい」と言いに来た）

最近はチャージの意味どころか、定期購入の意味もあるのか疑わしくなってきた。
とにかく言えることは、現金を一切持たないで電車に乗ると詰むということだけ。（そんな人、そうそういないか）

所有iPhoneXR"
デビットカードが使えなくなりました。 "今まで使えていた住信SBIのデビットカードですが、機種変更(iPhone X→iPhone11pro)をした後、新しくSuicaを発行しカードを登録しようとしたら「入力されたクレジットカードでは設定できません。他のカードで設定してください。」と表示され登録できません。

以前まで使えていたのにどうしてでしょうか？"
不安定＆認証が不便 "クレジットカードからチャージをすると、クレカ側ではモバイルSuicaチャージとして履歴が残っているのに、このアプリ側では未完了になってチャージされない事がよくある。
キャッシュレス決済アプリとしての根幹の機能がこれではあまりにお粗末。
あとは、Face ID認証がマスク基本の昨今では不便極まりないのだが、Face ID→スマホのパスコードならまだしも、モバイルSuicaのパスワードを求められるのは一貫性が無いと思う。"
残高表記が誤っている "2020/2くらいまで問題無く使用していたが、2020/3くらいから、決済後もアプリ上の残高表記が変動せず、支払い時に残高不足となってしまうケースがありました。(アプリのアップデート後の可能性もあります。)
チャージ後も改善されず、今後修正が入るまで信用して使用できない状態となってしまいました。"
使うけど "Apple Watch"
残高表示が正しくないです "1866円とSuicaアプリの残高に表示されている状態で200円ほどの区間の改札を通ろうとしたところ、「チャージしてください」という表示と「残高103円」という表示がでました。
とりあえず3000円クレジットカードでチャージすると改札も問題なく通れましたが、チャージ完了したその一瞬は3103円と表示されるも、すぐに1866円という表示に戻ってしまいました。
通期定期区間なら良いのですが、区間外で電車を利用することもあるため、アップデートしていただきたいです。"
残高表示が正しくない "更新が遅く残高表示が正しくない。
移動中でもないのに移動中と表示され定期の更新ができず困ります。"
シンプルにわかりづらい チケットレスで助かる場面が多いので使っているが、リアルタイムの残高でなくワンフェーズ前の表示なのでどうもわかりづらい。利用履歴もすぐさま反映されるものではないため、頭で把握をしていなければチャージ額の間違いも起こりやすい。
んー すいか残高の反映に時間がかかるので、現在の金額がわからない。機能としてはSuicaのセパレートより良い❗️
更新時、アップデートしなくともチャージできる仕様にしてほしい。 大したアップデートでもないのに、更新が必要でアップデートしないとアプリか使えない。チャージしたいときにチャージできない。更新時、アップデートしなくともアプリが使える仕様にしてほしい。wifi環境に繋がっているときにアプリを更新したい。
… "ポイント受け取り申請したんだが
ポケットに反映されてないぞ
これは間違いなく不具合だろ　クレーム入れるぞ"
表示金額が更新されません 使用した分、チャージした分の金額が更新されません。SF履歴から残額を確認しないといけないのが手間なので、改善していただきたいです。先月までこんなこともなく満足に使えていたので困っています…
残高が正しく表示されない不具合 "チャージしてるのに残高が増えないからきちんとチャージできてるのか分からなくて使うのを躊躇います
顔なじみの店で試しに使わせて貰ったら使えてその後きちんと残高が表示されたので直ったのかと思いきや
数日後再びチャージするとまた残高が増えず…
多分表示されないだけで使えるんだとは思いますけどそれがすごく不便だしストレス。
アップデートでなんとか直らないんですか？
というよりアプリの不具合ではないような感じで書いてますが…"
改悪 "iPhone 11にしてから改札を通る際に引っかかる事が多くなった。"
アプリ削除してダウンロードし直す "いつも使わせてもらってます。
支払いがVISAのためこのアプリがないと入金できない者です。
昨日アップデートを行ったところアプリが開けず強制終了させられました。
何度やっても開く事すら出来ませんでした。
アプリを削除→再インストールをしてログインすると問題なく起動しました。
まだ再インストール試してない方はやってみてはどうでしょう。"
残高が更新されない "なぜか知らんが課金したのに残高が更新されない。
いくら入っているのか分からんじゃないか。
再起動しても同じ。
どうするんだよ？"
早くしてください "アップデートしたら開けなくなりました。
早く改善してください。"
即刻改善を求めます。 "チャージしても残金表示が変わらず。だけど、購入履歴は更新される。
いまいくら残っているのか不明で困ります！
チャージされていないかと思い、二重でチャージしてしまいました！"
すぐに使いたいのに、強制的にアップデートさせられるのは不便 アップデートを強制しないで頂きたい。Suicaアプリは、チャージやグリーン券購入時に咄嗟に使いたいアプリだ。ソフトウェアアップデートがあるからといって使用したいタイミングで強制的にアップデートさせられるのでは不便極まりない。ソフトウェアアップデートを要請するメッセージが表示されている時には、使用者は既に店のレジの列に並んだり、グリーン車に乗り込もうとしている。
今回アップデートしたらアプリが開きません 1年以上便利に使わせていただきましたが、がっかりです。早急な改善をお願いします。
金額表示が正しくない 他の方も書いてますが標題のとおりです。アプリを開いたらアップデートを促されたので改善されたのかと思いきやされてません。スマホでスイカが使える＆チャージもできるのはかなり便利で重宝しているので、表示や更新が正しくできないと困ります。改善お願いいたします。
チャージ出来ません(;´༎ຶٹ༎ຶ`) アプリが開かないので修正お願いします！！
残高が変わらない 残高が使っても正しく表示されずとても使いづらい。早く改善してもらいたい。
アップデートをしたら開かなくなった "起動しなくなり、チャージができません。
せめて起動するかくらいテストしてからリリースしてくださいね。。。"
残額表示をしっかりして欲しい チャージしたのに残額が反映されてないため、無駄にチャージをしてしまいます。非常に使いにくいので、早急に対応して頂けると幸いです。宜しくお願いします。
急に残高が正しく表記されなくなった "いつまでたっても同じ残高。
たいへん困っています。"
機種変したけど… "普段使いは全然いい。

けど機種変したら元のメールアドレスにログインできなくなってしまった。
前の機種ではきっちり払い戻しもして全て消したのに。

元々は親のメアドでiCloudを使っていたので、自分のメアドを使い始めたのが原因と思われます。"
残額が合わない "残額表示がバグりすぎ
